# KD11-B control store, October 1973 drawing set. Bits as printed; NXT is active low.
# NXTADDR is the decoded next microaddress (MPC complemented). ALUCODE/ALUOP decode
# the 5-bit ALU field against the operation table in EK-KD11B-MM-001. SPA is the
# 4-bit scratchpad address ROM-SPA-3..0, which the listing prints as four separate
# non-adjacent single-bit columns (SP3 SP2 SP1 SP0) and is assembled here.
# Symbolic columns decode the fields per kd11b-fieldvalues.tsv. BUT and BRG need the
# printed bits unscrambled first; see kd11b-README.md.
NAM	LOC	NXTADDR	ALUCODE	SPA	BUTNAME	ALUOP	BRGNAME	BLEG	TNSNAME	ALGNAME	SPAMUX	SPFNAME	ABTNAME	FSHNAME	CKONAME	NXT	ALU	CRI	FSH	AUX	PSW	SP1	SP3	DIP	SM0	SP0	SM1	BBT	BAR	BTP	SPF	SP2	CKO	ABT	TNS	ALG	BRG	BUT	WORD40
CE2-1	315	371	14	15	NON	A_plus_B	LOAD	BREG/+1	NONE	SP	ROM	READ	NO	NO	OFF	00000110	01100	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	11	11	11	1111	0000011001100111111111100111111111111111
CE2-2	371	317	13	15	NON	BL	HOLD	BREG	NONE	SP	ROM	WRITE	NO	NO	OFF	00110000	01011	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	11	11	00	1111	0011000001011011111111111101111111001111
CL-1	311	375	37	0	JMP/JSR	not_A	HOLD	BREG	DATI	NULL	ROM	WRITE	NO	NO	ON	00000010	11111	0	1	1	1	0	0	1	1	0	1	1	0	1	0	0	0	1	10	10	00	1101	0000001011111011100110110100011010001101
CL-2	375	367	01	0	NON	AL	LOAD	BREG	NONE	NULL	BA	READ	NO	NO	OFF	00001000	00001	0	1	1	1	0	0	1	0	0	0	1	1	1	1	0	1	1	11	10	11	1111	0000100000001011100100011110111110111111
CL-3	367	302	13	15	NON	BL	HOLD	BREG	NONE	SP	ROM	WRITE	NO	NO	OFF	00111101	01011	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	11	11	00	1111	0011110101011011111111111101111111001111
CS-1	100	322	07	0	IR-CLK	ZERO	HOLD	BREG	NONE	SP	ROM	READ	NO	NO	OFF	00101101	00111	0	1	1	1	0	0	1	1	0	1	1	1	1	1	0	1	1	11	11	00	0000	0010110100111011100110111110111111000000
CS-2	322	321	01	15	NON	AL	LOAD	BREG	NONE	SP	ROM	READ	NO	NO	OFF	00101110	00001	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	11	11	11	1111	0010111000001011111111110111111111111111
CS-3	321	040	13	7	BYTE	BL	HOLD	BREG	NONE	SP	ROM	WRITE	NO	NO	OFF	11011111	01011	0	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	11	11	00	1100	1101111101011011110111111101111111001100
D0-1	101	154	01	0	DEST	AL	LOAD	BREG	NONE	SP	IRS	READ	NO	NO	OFF	10010011	00001	0	1	1	1	0	0	1	0	0	1	1	1	1	1	0	1	1	11	11	11	0101	1001001100001011100100111110111111110101
D0-2	157	142	13	9	SWITCHES	BL	HOLD	BREG	NONE	SP	ROM	WRITE	NO	NO	OFF	10011101	01011	0	1	1	1	0	1	1	1	1	1	1	1	1	0	0	1	1	11	11	00	1010	1001110101011011101111111100111111001010
D0-3	162	332	37	8	ENOFLO	not_A	LOAD	BREG	NONE	SP	ROM	READ	NO	NO	OFF	00100101	11111	1	1	0	1	0	1	1	1	0	1	1	1	1	1	0	1	1	11	11	11	0010	0010010111111110101110111110111111110010
D0-3A	155	332	37	8	ENOFLO	not_A	LOAD	BREG	NONE	SP	ROM	READ	NO	NO	OFF	00100101	11111	1	1	0	1	0	1	1	1	0	1	1	1	1	1	0	1	1	11	11	11	0010	0010010111111110101110111110111111110010
D0-4	332	040	13	0	BYTE	BL	HOLD	BREG	NONE	SP	IRS	WRITE	NO	NO	OFF	11011111	01011	0	1	1	1	0	0	1	0	0	1	1	1	1	0	0	1	1	11	11	00	1100	1101111101011011100100111100111111001100
D1-1	103	200	01	0	INIT	AL	LOAD	BREG	DATI	SP	IRS	READ	YES	NO	ON	01111111	00001	0	1	1	1	0	0	0	0	0	1	1	0	1	1	0	0	0	10	11	11	1011	0111111100001011100000110110001011111011
D1-2	200	210	01	0	SERVICE	AL	LOAD	BREG	NONE	NULL	BA	READ	NO	NO	OFF	01110111	00001	0	1	1	1	0	0	1	0	0	0	1	1	1	1	0	1	1	11	10	11	0011	0111011100001011100100011110111110110011
D1-3	210	143	13	9	SWITCHES	BL	HOLD	BREG	NONE	SP	ROM	WRITE	NO	NO	OFF	10011100	01011	0	1	1	1	0	1	1	1	1	1	1	1	1	0	0	1	1	11	11	00	1010	1001110001011011101111111100111111001010
D1-4	163	334	37	8	ENOFLO	not_A	LOAD	BREG	NONE	SP	ROM	READ	NO	NO	OFF	00100011	11111	1	1	0	1	0	1	1	1	0	1	1	1	1	1	0	1	1	11	11	11	0010	0010001111111110101110111110111111110010
D1-5	334	065	01	0	NON	AL	HOLD	BREG	DATO	SP	ROM	READ	YES	NO	ON	11001010	00001	0	1	1	1	0	0	1	1	0	1	1	1	1	1	0	0	0	01	11	00	1111	1100101000001011100110111110000111001111
D1-6	065	305	13	0	NON	BL	HOLD	BREG	NONE	SP	ROM	READ	NO	NO	OFF	00111010	01011	0	1	1	1	0	0	1	1	0	1	1	1	1	1	0	1	1	11	11	00	1111	0011101001011011100110111110111111001111
D2-1	105	331	01	0	NON	AL	HOLD	BREG	DATI	SP	IRS	READ	YES	NO	OFF	00100110	00001	0	1	1	1	0	0	0	0	0	1	1	0	1	1	0	1	0	10	11	00	1111	0010011000001011100000110110101011001111
D2-2	331	341	14	0	NON	A_plus_B	LOAD	BREG/+1	NONE	SP	IRS	READ	NO	NO	OFF	00011110	01100	1	1	1	1	0	0	1	0	0	1	0	1	1	1	0	1	1	11	11	11	1111	0001111001100111100100101110111111111111
D2-3	341	200	13	0	INIT	BL	HOLD	BREG	NONE	SP	IRS	WRITE	NO	NO	ON	01111111	01011	0	1	1	1	0	0	1	0	0	1	1	1	1	0	0	0	1	11	11	00	1011	0111111101011011100100111100011111001011
D3-1	107	160	01	0	NON	AL	HOLD	BREG	DATI	SP	IRS	READ	NO	NO	OFF	10001111	00001	0	1	1	1	0	0	1	0	0	1	1	0	1	1	0	1	1	10	11	00	1111	1000111100001011100100110110111011001111
D3-2	160	070	14	0	NON	A_plus_B	LOAD	BREG/+1	NONE	SP	IRS	READ	NO	NO	OFF	11000111	01100	1	1	1	1	0	0	1	0	0	1	0	1	1	1	0	1	1	11	11	11	1111	1100011101100111100100101110111111111111
D3-3	070	071	13	0	NON	BL	HOLD	BREG	NONE	SP	IRS	WRITE	NO	NO	ON	11000110	01011	0	1	1	1	0	0	1	0	0	1	1	1	1	0	0	0	1	11	11	00	1111	1100011001011011100100111100011111001111
D3-4	071	072	01	0	NON	AL	LOAD	BREG	NONE	NULL	BA	READ	NO	NO	OFF	11000101	00001	0	1	1	1	0	0	1	0	0	0	1	1	1	1	0	1	1	11	10	11	1111	1100010100001011100100011110111110111111
D3-5	072	200	13	0	INIT	BL	HOLD	BREG	DATI	SP	ROM	READ	YES	NO	ON	01111111	01011	0	1	1	1	0	0	0	1	0	1	1	0	1	1	0	0	0	10	11	00	1011	0111111101011011100010110110001011001011
D4-1	111	341	22	0	INTR	A_minus_B_minus_1	LOAD	BREG/+1	DATI	SP	IRS	READ	YES	NO	OFF	00011110	10010	0	1	1	1	0	0	0	0	0	1	0	0	1	1	0	1	0	10	11	11	0100	0001111010010011100000100110101011110100
D5-1	113	070	22	0	INTR	A_minus_B_minus_1	LOAD	BREG/+1	DATI	SP	IRS	READ	NO	NO	OFF	11000111	10010	0	1	1	1	0	0	1	0	0	1	0	0	1	1	0	1	1	10	11	11	0100	1100011110010011100100100110111011110100
D6-1	115	075	01	7	NON	AL	HOLD	BREG	DATI	SP	ROM	READ	NO	NO	OFF	11000010	00001	0	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	10	11	00	1111	1100001000001011110111110111111011001111
D6-2	075	077	14	7	NON	A_plus_B	LOAD	BREG/+1	NONE	SP	ROM	READ	NO	NO	OFF	11000000	01100	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	11	11	11	1111	1100000001100111110111101111111111111111
D6-3	077	057	13	7	NON	BL	HOLD	BREG	NONE	SP	ROM	WRITE	NO	NO	ON	11010000	01011	0	1	1	1	1	0	1	1	1	1	1	1	1	0	1	0	1	11	11	00	1111	1101000001011011110111111101011111001111
D6-4	057	300	01	0	NON	AL	LOAD	BREG	NONE	NULL	BA	READ	NO	NO	OFF	00111111	00001	0	1	1	1	0	0	1	0	0	0	1	1	1	1	0	1	1	11	10	11	1111	0011111100001011100100011110111110111111
D6-5	300	200	14	0	INIT	A_plus_B	LOAD	BREG	DATI	SP	IRS	READ	YES	NO	ON	01111111	01100	0	1	1	1	0	0	0	0	0	1	1	0	1	1	0	0	0	10	11	11	1011	0111111101100011100000110110001011111011
D7-1	117	310	01	7	NON	AL	HOLD	BREG	DATI	SP	ROM	READ	NO	NO	OFF	00110111	00001	0	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	10	11	00	1111	0011011100001011110111110111111011001111
D7-2	310	104	14	7	NON	A_plus_B	LOAD	BREG/+1	NONE	SP	ROM	READ	NO	NO	OFF	10111011	01100	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	11	11	11	1111	1011101101100111110111101111111111111111
D7-3	104	320	13	7	NON	BL	HOLD	BREG	NONE	SP	ROM	WRITE	NO	NO	ON	00101111	01011	0	1	1	1	1	0	1	1	1	1	1	1	1	0	1	0	1	11	11	00	1111	0010111101011011110111111101011111001111
