# KD11-B control store, October 1973 drawing set. Bits as printed; NXT is active low.
# NXTADDR is the decoded next microaddress (MPC complemented). ALUCODE/ALUOP decode
# the 5-bit ALU field against the operation table in EK-KD11B-MM-001. SPA is the
# 4-bit scratchpad address ROM-SPA-3..0, which the listing prints as four separate
# non-adjacent single-bit columns (SP3 SP2 SP1 SP0) and is assembled here.
# Symbolic columns decode the fields per kd11b-fieldvalues.tsv. BUT and BRG need the
# printed bits unscrambled first; see kd11b-README.md.
NAM	LOC	NXTADDR	ALUCODE	SPA	BUTNAME	ALUOP	BRGNAME	BLEG	TNSNAME	ALGNAME	SPAMUX	SPFNAME	ABTNAME	FSHNAME	CKONAME	NXT	ALU	CRI	FSH	AUX	PSW	SP1	SP3	DIP	SM0	SP0	SM1	BBT	BAR	BTP	SPF	SP2	CKO	ABT	TNS	ALG	BRG	BUT	WORD40
D7-4	320	106	01	0	NON	AL	LOAD	BREG	NONE	NULL	BA	READ	NO	NO	OFF	10111001	00001	0	1	1	1	0	0	1	0	0	0	1	1	1	1	0	1	1	11	10	11	1111	1011100100001011100100011110111110111111
D7-5	106	071	14	0	NON	A_plus_B	HOLD	BREG	DATI	SP	IRS	READ	NO	NO	ON	11000110	01100	0	1	1	1	0	0	1	0	0	1	1	0	1	1	0	0	1	10	11	00	1111	1100011001100011100100110110011011001111
DB0-1	156	144	13	9	SWITCHES	BL	LOAD	SEX	NONE	SP	ROM	WRITE	NO	NO	OFF	10011011	01011	0	1	1	1	0	1	1	1	1	1	1	1	0	0	0	1	1	11	11	11	1010	1001101101011011101111111000111111111010
DB0-2	164	304	37	8	ENOFLO	not_A	LOAD	BREG	NONE	SP	ROM	READ	NO	NO	OFF	00111011	11111	1	1	0	1	0	1	1	1	0	1	1	1	1	1	0	1	1	11	11	11	0010	0011101111111110101110111110111111110010
DB0-3	304	040	13	0	BYTE	BL	HOLD	BREG	NONE	SPR	IRS	WRITE	NO	NO	OFF	11011111	01011	0	1	1	1	0	0	1	0	0	1	1	1	1	0	0	1	1	11	01	00	1100	1101111101011011100100111100111101001100
DBF-1	110	041	01	0	NON	AL	HOLD	BREG	NONE	SP	ROM	READ	NO	NO	OFF	11011110	00001	0	1	1	1	0	0	1	1	0	1	1	1	1	1	0	1	1	11	11	00	1111	1101111000001011100110111110111111001111
DF-1	250	163	13	9	SWITCHES	BL	LOAD	SEX	NONE	SP	ROM	WRITE	NO	NO	OFF	10001100	01011	0	1	1	1	0	1	1	1	1	1	1	1	0	0	0	1	1	11	11	11	1010	1000110001011011101111111000111111111010
DO-1	270	123	01	0	NON	AL	SLEFT	BREG	NONE	SP	ROM	READ	NO	SHIFT	OFF	10101100	00001	0	0	1	1	0	0	1	1	0	1	1	1	1	1	0	1	1	11	11	10	1111	1010110000001001100110111110111111101111
DO-10	165	342	37	8	ENOFLO	not_A	LOAD	BREG	NONE	SP	ROM	READ	NO	NO	OFF	00011101	11111	1	1	0	1	0	1	1	1	0	1	1	1	1	1	0	1	1	11	11	11	0010	0001110111111110101110111110111111110010
DO-11	342	135	01	0	NON	AL	SRIGHT	BREG	NONE	SP	ROM	READ	NO	SHIFT	OFF	10100010	00001	0	0	1	1	0	0	1	1	0	1	1	1	1	1	0	1	1	11	11	01	1111	1010001000001001100110111110111111011111
DO-12	135	136	01	0	NON	AL	SRIGHT	BREG	NONE	SP	ROM	READ	NO	SHIFT	OFF	10100001	00001	0	0	1	1	0	0	1	1	0	1	1	1	1	1	0	1	1	11	11	01	1111	1010000100001001100110111110111111011111
DO-13	136	137	01	0	NON	AL	SRIGHT	BREG	NONE	SP	ROM	READ	NO	SHIFT	OFF	10100000	00001	0	0	1	1	0	0	1	1	0	1	1	1	1	1	0	1	1	11	11	01	1111	1010000000001001100110111110111111011111
DO-14	137	140	01	0	NON	AL	SRIGHT	BREG	NONE	SP	ROM	READ	NO	SHIFT	OFF	10011111	00001	0	0	1	1	0	0	1	1	0	1	1	1	1	1	0	1	1	11	11	01	1111	1001111100001001100110111110111111011111
DO-15	140	141	01	0	NON	AL	SRIGHT	BREG	NONE	SP	ROM	READ	NO	SHIFT	OFF	10011110	00001	0	0	1	1	0	0	1	1	0	1	1	1	1	1	0	1	1	11	11	01	1111	1001111000001001100110111110111111011111
DO-16	141	142	01	0	NON	AL	SRIGHT	BREG	NONE	SP	ROM	READ	NO	SHIFT	OFF	10011101	00001	0	0	1	1	0	0	1	1	0	1	1	1	1	1	0	1	1	11	11	01	1111	1001110100001001100110111110111111011111
DO-17	142	143	01	0	NON	AL	SRIGHT	BREG	NONE	SP	ROM	READ	NO	SHIFT	OFF	10011100	00001	0	0	1	1	0	0	1	1	0	1	1	1	1	1	0	1	1	11	11	01	1111	1001110000001001100110111110111111011111
DO-18	143	065	01	0	NON	AL	SRIGHT	BREG	DATO	SP	ROM	READ	YES	NO	ON	11001010	00001	0	1	1	1	0	0	1	1	0	1	1	1	1	1	0	0	0	01	11	01	1111	1100101000001011100110111110000111011111
DO-2	123	124	01	0	NON	AL	SLEFT	BREG	NONE	SP	ROM	READ	NO	SHIFT	OFF	10101011	00001	0	0	1	1	0	0	1	1	0	1	1	1	1	1	0	1	1	11	11	10	1111	1010101100001001100110111110111111101111
DO-3	124	125	01	0	NON	AL	SLEFT	BREG	NONE	SP	ROM	READ	NO	SHIFT	OFF	10101010	00001	0	0	1	1	0	0	1	1	0	1	1	1	1	1	0	1	1	11	11	10	1111	1010101000001001100110111110111111101111
DO-4	125	126	01	0	NON	AL	SLEFT	BREG	NONE	SP	ROM	READ	NO	SHIFT	OFF	10101001	00001	0	0	1	1	0	0	1	1	0	1	1	1	1	1	0	1	1	11	11	10	1111	1010100100001001100110111110111111101111
DO-5	126	127	01	0	NON	AL	SLEFT	BREG	NONE	SP	ROM	READ	NO	SHIFT	OFF	10101000	00001	0	0	1	1	0	0	1	1	0	1	1	1	1	1	0	1	1	11	11	10	1111	1010100000001001100110111110111111101111
DO-6	127	130	01	0	NON	AL	SLEFT	BREG	NONE	SP	ROM	READ	NO	SHIFT	OFF	10100111	00001	0	0	1	1	0	0	1	1	0	1	1	1	1	1	0	1	1	11	11	10	1111	1010011100001001100110111110111111101111
DO-7	130	131	01	0	NON	AL	SLEFT	BREG	NONE	SP	ROM	READ	NO	SHIFT	OFF	10100110	00001	0	0	1	1	0	0	1	1	0	1	1	1	1	1	0	1	1	11	11	10	1111	1010011000001001100110111110111111101111
DO-8	131	132	01	0	NON	AL	SLEFT	BREG	NONE	SP	ROM	READ	NO	NO	OFF	10100101	00001	0	1	1	1	0	0	1	1	0	1	1	1	1	1	0	1	1	11	11	10	1111	1010010100001011100110111110111111101111
DO-9	132	145	13	9	SWITCHES	BL	LOAD	SEX	NONE	SP	ROM	WRITE	NO	NO	OFF	10011010	01011	0	1	1	1	0	1	1	1	1	1	1	1	0	0	0	1	1	11	11	11	1010	1001101001011011101111111000111111111010
ERT-1	010	245	01	6	JMP/JSR	AL	LOAD	BREG	NONE	NULL	ROM	WRITE	NO	NO	OFF	01011010	00001	0	1	1	1	1	0	1	1	0	1	1	1	1	0	1	1	1	11	10	11	1101	0101101000001011110110111101111110111101
ERT1A	046	003	01	6	JMP/JSR	AL	LOAD	BREG	NONE	NULL	ROM	WRITE	NO	NO	OFF	11111100	00001	0	1	1	1	1	0	1	1	0	1	1	1	1	0	1	1	1	11	10	11	1101	1111110000001011110110111101111110111101
ERT1B	153	245	01	6	JMP/JSR	AL	LOAD	BREG	NONE	NULL	ROM	WRITE	NO	NO	OFF	01011010	00001	0	1	1	1	1	0	1	1	0	1	1	1	1	0	1	1	1	11	10	11	1101	0101101000001011110110111101111110111101
ET-1	011	245	01	2	JMP/JSR	AL	LOAD	BREG	NONE	NULL	ROM	READ	NO	NO	OFF	01011010	00001	0	1	1	1	1	0	1	1	0	1	1	1	1	1	0	1	1	11	10	11	1101	0101101000001011110110111110111110111101
ET-10	254	255	01	10	IR-CLK	AL	HOLD	BREG	DATI	SP	ROM	READ	NO	NO	ON	01010010	00001	0	1	1	1	1	1	1	1	0	1	1	0	1	1	0	0	1	10	11	00	0000	0101001000001011111110110110011011000000
ET-11	255	256	01	7	NON	AL	LOAD	BREG	NONE	SP	ROM	WRITE	NO	NO	OFF	01010001	00001	0	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	11	11	11	1111	0101000100001011110111111101111111111111
ET-12	256	257	14	10	NON	A_plus_B	LOAD	BREG/+1	DATI	SP	ROM	READ	NO	NO	ON	01010000	01100	1	1	1	1	1	1	1	1	0	1	0	0	1	1	0	0	1	10	11	11	1111	0101000001100111111110100110011011111111
ET-13	257	305	01	0	NON	AL	LOAD	BREG	NONE	SP	ROM	READ	NO	NO	OFF	00111010	00001	0	1	1	0	0	0	1	1	0	1	1	1	1	1	0	1	1	11	11	11	1111	0011101000001011000110111110111111111111
ET-2	245	246	13	10	NON	BL	HOLD	BREG	NONE	SP	ROM	WRITE	NO	NO	OFF	01011001	01011	0	1	1	1	1	1	1	1	0	1	1	1	1	0	0	1	1	11	11	00	1111	0101100101011011111110111100111111001111
ET-3	246	247	22	6	INTR	A_minus_B_minus_1	LOAD	BREG/+1	NONE	SP	ROM	READ	NO	NO	OFF	01011000	10010	0	1	1	1	1	0	1	1	0	1	0	0	1	1	1	1	1	11	11	11	0100	0101100010010011110110100111111111110100
ET-5	247	226	13	6	NON	BL	HOLD	BREG	DATO	SP	ROM	WRITE	NO	NO	ON	01101001	01011	0	1	1	1	1	0	1	1	0	1	1	1	1	0	1	0	1	01	11	00	1111	0110100101011011110110111101010111001111
ET-6	226	251	01	0	NON	AL	HOLD	BREG	NONE	PSW	ROM	READ	NO	NO	OFF	01010110	00001	0	1	1	1	0	0	1	1	0	1	1	1	1	1	0	1	1	11	00	00	1111	0101011000001011100110111110111100001111
ET-7	251	252	22	6	INTR	A_minus_B_minus_1	LOAD	BREG/+1	NONE	SP	ROM	READ	NO	NO	OFF	01010101	10010	0	1	1	1	1	0	1	1	0	1	0	0	1	1	1	1	1	11	11	11	0100	0101010110010011110110100111111111110100
ET-8	252	253	13	6	NON	BL	HOLD	BREG	DATO	SP	ROM	WRITE	NO	NO	ON	01010100	01011	0	1	1	1	1	0	1	1	0	1	1	1	1	0	1	0	1	01	11	00	1111	0101010001011011110110111101010111001111
ET-9	253	254	01	7	NON	AL	HOLD	BREG	NONE	SP	ROM	READ	NO	NO	OFF	01010011	00001	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	11	11	00	1111	0101001100001011110111111111111111001111
ET2-2	003	004	13	10	NON	BL	LOAD	BREG	NONE	SP	ROM	WRITE	NO	NO	OFF	11111011	01011	0	1	1	1	1	1	1	1	0	1	1	1	1	0	0	1	1	11	11	11	1111	1111101101011011111110111100111111111111
ET2-3	004	036	22	6	NON	A_minus_B_minus_1	LOAD	BREG/+1	NONE	SP	ROM	READ	NO	NO	OFF	11100001	10010	0	1	1	1	1	0	1	1	0	1	0	0	1	1	1	1	1	11	11	11	1111	1110000110010011110110100111111111111111
ET2-5	036	037	13	6	NON	BL	HOLD	BREG	DATO	SP	ROM	WRITE	NO	NO	ON	11100000	01011	0	1	1	1	1	0	1	1	0	1	1	1	1	0	1	0	1	01	11	00	1111	1110000001011011110110111101010111001111
ET2-6	037	051	01	0	NON	AL	HOLD	BREG	NONE	PSW	ROM	READ	NO	NO	OFF	11010110	00001	0	1	1	1	0	0	1	1	0	1	1	1	1	1	0	1	1	11	00	00	1111	1101011000001011100110111110111100001111
ET2-7	051	252	22	6	NON	A_minus_B_minus_1	LOAD	BREG/+1	NONE	SP	ROM	READ	NO	NO	OFF	01010101	10010	0	1	1	1	1	0	1	1	0	1	0	0	1	1	1	1	1	11	11	11	1111	0101010110010011110110100111111111111111
F-1	062	053	01	7	NON	AL	HOLD	BREG	DATI	SP	ROM	READ	NO	NO	OFF	11010100	00001	0	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	10	11	00	1111	1101010000001011110111110111111011001111
F-2	053	365	14	7	NON	A_plus_B	LOAD	BREG/+1	NONE	SP	ROM	READ	NO	NO	OFF	00001010	01100	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	11	11	11	1111	0000101001100111110111101111111111111111
F-3	365	364	13	7	NON	BL	HOLD	BREG	NONE	SP	ROM	WRITE	NO	NO	ON	00001011	01011	0	1	1	1	1	0	1	1	1	1	1	1	1	0	1	0	1	11	11	00	1111	0000101101011011110111111101011111001111
